title,company,city,country,location,skills,type,salary,salary_min,salary_max,published,ai
Data Analyst- Decision Intelligence,Biogen,,USA,", USA","Machine Learning,Testing,Full Stack,Python,SQL,Pandas,JavaScript,Scikit-learn,React,Data Science,Data Analysis,NumPy,Matplotlib,Research,IOS,Quantitative,Statistics,Power BI",Full Time,"$103,000-$165,000 annually.",103000,165000,2025-02-26T22:16:57.513Z,True
Head of Data Platform ,VusionGroup SA,Paris,France,"Paris, France","Machine Learning,Python,Java,Kubernetes,Docker,Kafka,SCALA,Dagster,Data Science,Data Engineer,Computer Vision,Data Architect,DataBricks,HDFS,Architecture,Security,SAAS,Storage,Airflow",Full Time,,0,0,2025-02-26T22:08:55.019Z,True
Head of Data Science ,VusionGroup SA,Paris,France,"Paris, France","Machine Learning,SQL,PyTorch,Data Science,Deep Learning,Data Analysis,Computer Vision,SAAS,Statistics",Full Time,,0,0,2025-02-26T22:08:51.812Z,True
Machine Learning Engineer (m/w/d) – Computer Vision & Generative KI,MVI Group GmbH,Wolfsburg,Germany,"Wolfsburg, Germany","Machine Learning,NLP,LLMs,Tensorflow,PyTorch,ML Ops,Transformers,C#,HuggingFace,Langchain,Agile,API,AWS,Kubernetes,Rest,Docker,GCP,Azure,Gradio,Data Science,Deep Learning,Computer Vision,MLFlow,CNNS,GANS,Deployment,Debugging",Vollzeit,,0,0,2025-02-26T22:02:37.017Z,True
Senior Staff Machine Learning Engineer ,Palo Alto Networks,"Santa Clara, CA",USA,"Santa Clara, CA, USA","Machine Learning,Python,Cloud,Data Mining,AWS,Kubernetes,GCP,Data Science,Research,Computer Science,Reliability,Statistics,BigQuery",Full Time,$136000-$221000 annually.,136000,221000,2025-02-26T22:00:49.125Z,True
Global Data Analytics Manager,Nozomi Networks,,,", ","SQL,Data Science,Data Analysis,Data Governance,Infrastructure,Deployment,Statistics,Mathematics,Power BI,JSON,Looker,BigQuery",Remote,"$141,300-$153,200 annually",141300,153200,2025-02-26T12:58:12.555Z,True
Staff Architect AI Applications ,Credit Karma,Oakland,United States of America,"Oakland, United States of America","Full Stack,Backend,Generative AI,Cloud,Java,TypeScript,SageMaker,Prompt Engineering,Langchain,AWS,GCP,IOS SDK,Angular,Kotlin,React,Data Science,Dialogflow,IOS,Computer Science,Architecture,Product Development,Distributed Systems,Product Design,Open Source,UX,Android,Mathematics,JSON,Spring",Full Time,"$402,578 annually.",402578,402578,2025-02-26T12:57:11.155Z,True
"Software Engineer Fullstack - Core - Onsite or Remote (FR, UK, DE, NL)",Dataiku,London:Berlin:Amsterdam,United Kingdom:Germany:Netherlands,"London:Berlin:Amsterdam, United Kingdom:Germany:Netherlands","Machine Learning,Frontend,Full Stack,Backend,Python,SQL,LLMs,Tensorflow,PyTorch,Generative AI,ML Ops,Cloud,JavaScript,Time Series,Scikit-learn,API,AWS,Kubernetes,Azure,GitHub,Angular,React,Data Science,Database,Forecasting,Jupyter Notebook,Research,Deployment,Transformation,Open Source,UX,Statistics,Mathematics,JSON","Remote,Full Time",,0,0,2025-02-26T12:27:17.298Z,True
"Manager, Data Analytics",Super.com,,USA,", USA","Python,SQL,Git,S3,Data Science,Data Engineer,IOS,Google Analytics,SnowFlake,Looker",Full Time,"$131,000-$188,000 annually",131000,188000,2025-02-26T05:26:16.221Z,True
Senior/Staff Machine Learning Engineer,StackAdapt,London,UK,"London, UK","Machine Learning,S3,Data Science,Big Data,Computer Science,Google Analytics,Microservices,Distributed Systems,Software Design","Remote,Full Time",,0,0,2025-02-26T05:16:11.239Z,True
Senior/Staff Machine Learning Engineer,StackAdapt,,Canada,", Canada","Machine Learning,S3,Data Science,Big Data,Computer Science,Google Analytics,Microservices,Distributed Systems,Software Design","Remote,Full Time",,0,0,2025-02-26T05:16:08.123Z,True
Senior/Staff Machine Learning Engineer,StackAdapt,,USA,", USA","Machine Learning,S3,Data Science,Big Data,Computer Science,Google Analytics,Microservices,Distributed Systems,Software Design","Remote,Full Time",,0,0,2025-02-26T05:16:05.017Z,True
Data Engineer II,Delivery Hero,,Singapore,", Singapore","Machine Learning,Python,SQL,AWS,GCP,Terraform,Data Science,Data Engineer,Big Data,Computer Science,Deployment,Airflow",Full Time,,0,0,2025-02-25T22:33:05.011Z,True
Ingénieur Data Snowflake (H/F),SQLI,Rabat,Morocco,"Rabat, Morocco","Python,SQL,Cloud,Transformers,API,AWS,GCP,Azure,Tableau,Apache,S3,Data Science,Data Engineer,Big Data,IOS,Architecture,SnowFlake,Power BI,RedShift,Looker,BigQuery",Temporary,,0,0,2025-02-25T22:31:28.259Z,True
Sr. Manager Data Science,Visa,Dubai,UAE,"Dubai, UAE","Machine Learning,Python,SQL,Hadoop,Data Mining,SCALA,Data Science,Data Engineer,Big Data,Database,Hive,Neural networks,Clustering,Data Modelling,Jupyter Notebook,Decision Trees,Logistic Regression,Support Vector Machines,Random Forests,Principal Component Analysis,Computer Science,Architecture,Quantitative,Linux,Project Management,Statistics,Mathematics,Elasticsearch",Full Time,,0,0,2025-02-25T22:31:12.07Z,True
"Senior Data Scientist (Analytics), Marketing",Wolt,Helsinki,Finland,"Helsinki, Finland","Testing,Python,SQL,Tableau,IOS SDK,R,Data Science,IOS,Product Development,Quantitative,Android,Statistics,Looker",Full Time,,0,0,2025-02-25T22:30:15.813Z,True
"Senior Data Scientist (Analytics), Marketing",Wolt,Stockholm,Sweden,"Stockholm, Sweden","Testing,Python,SQL,Tableau,IOS SDK,R,Data Science,IOS,Product Development,Quantitative,Android,Statistics,Looker",Full Time,,0,0,2025-02-25T22:30:12.695Z,True
Consultant(e) Senior Data Scientist - Marketing & Stratégie ,Sia,Paris,France,"Paris, France","Machine Learning,Python,SQL,NLP,Cloud,AWS,GCP,Azure,Tableau,Devops,Data Science,Transformation,Power BI",Temporary,,0,0,2025-02-25T22:27:12.564Z,True
Manager Data Scientist - Marketing & Stratégie ,Sia,Paris,France,"Paris, France","Machine Learning,Python,SQL,NLP,Cloud,AWS,GCP,Azure,Tableau,Data Science,Power BI",Temporary,,0,0,2025-02-25T22:27:09.465Z,True
Data Scientist/ML-Engineer,SIXT,Lisbon,Portugal,"Lisbon, Portugal","Machine Learning,Python,Cloud,AWS,Data Science",Full Time,,0,0,2025-02-25T22:27:06.353Z,True
Data Science Internship / Working Student,Sika AG,Zurich,Switzerland,"Zurich, Switzerland","Scripting,Data Science,Data Engineer,Database,Transformation",Part Time,,0,0,2025-02-25T22:26:57.179Z,True
Senior Data Engineer,Cricut,,Jordan,", Jordan","Machine Learning,Frontend,LLMs,Cloud,Agile,Kafka,Data Science,Data Engineer,Big Data,Database,Data Collection,Data Infrastructure,Computer Science,Security,Product Management,Transformation,NOSQL,SnowFlake,Project Management,RedShift",Full Time,,0,0,2025-02-25T22:26:44.789Z,True
Environment Data Specialist II,AECOM,Bangalore,India,"Bangalore, India","Machine Learning,Data Science,Data Engineer,Data Collection,Research,Infrastructure,Automation,Power BI,SQL Server,MS SQL",Full Time,,0,0,2025-02-25T22:26:38.609Z,True
Senior Associate--AI/ML Modeling (Flexible Hybrid),Fannie Mae,"Washington, DC",USA,"Washington, DC, USA","Machine Learning,Testing,Python,SQL,NLP,Data Mining,Java,Tableau,Data Science,Logistic Regression,Research,Computer Science,Automation,Debugging,Quantitative,Project Management,Statistics,Mathematics,Power BI",Full Time,$121000-$158000 annually,121000,158000,2025-02-25T22:23:46.11Z,True
Lead Associate-- AI/ML Modeling (Flexible Hybrid),Fannie Mae,"Washington, DC",USA,"Washington, DC, USA","Machine Learning,Testing,Python,SQL,NLP,LLMs,Cloud,Data Mining,Java,Tableau,Data Science,Deep Learning,Logistic Regression,Research,Computer Science,Automation,Debugging,Quantitative,Project Management,Statistics,Mathematics,Power BI",Full Time,$138000-$180000 annually,138000,180000,2025-02-25T22:23:43.028Z,True
AI Engineer (with Expertise in Automation and NLP Tools),Sandisk,Kfar Saba,Israel,"Kfar Saba, Israel","Machine Learning,Python,SQL,NLP,Tensorflow,PyTorch,Cloud,Pandas,Java,SageMaker,HuggingFace,Scikit-learn,API,CICD,AWS,Apache,S3,Speech Recognition,Sentiment Analysis,Chatbot,Devops,Data Science,Data Engineer,Deep Learning,Data Analysis,Computer Vision,Data Collection,NumPy,Scipy,Transfer Learning,Computer Science,Automation,Deployment,Reliability,Distributed Systems,NOSQL,Jenkins,Airflow,EC2,Lambda",Full Time,,0,0,2025-02-25T22:22:25.425Z,True
Gen AI Developer with Azure Stack and Lang chain experience is Mandatory,Syncreon Consulting,Toronto,Canada,"Toronto, Canada","Machine Learning,Full Stack,Python,SQL,NLP,Transformers,JavaScript,CSS,HTML,Feature Engineering,API,CICD,Scripting,Kubernetes,Rest,Azure,React,Data Science,Neural networks,Research,Computer Science,Security,Infrastructure,Product Development,NOSQL",Full Time,,0,0,2025-02-25T22:20:00.249Z,True
Senior AI consultant/GenAI Product Owner,Hiflylabs,Budapest,Hungary,"Budapest, Hungary","Machine Learning,NLP,Generative AI,Tableau,Data Science,Data Engineer,Data Governance,Research,Product Management,Transformation,Power BI,Looker",Full Time,,0,0,2025-02-25T22:19:57.038Z,True
Senior Data Scientist with AI product mindset,Hiflylabs,Budapest,Hungary,"Budapest, Hungary","Machine Learning,Python,SQL,NLP,LLMs,Generative AI,Cloud,Transformers,SageMaker,Prompt Engineering,HuggingFace,Langchain,Streamlit,API,Azure,Git,Data Science,Deep Learning,Database,DataBricks,OpenAI,MLFlow,Jupyter,Torch,Text Classification,LightGBM,RAG,NOSQL",Full Time,,0,0,2025-02-25T22:19:53.855Z,True
Senior Machine Learning Engineer,tvScientific,,United States,", United States","Machine Learning,Testing,Python,ML Ops,AWS,SCALA,KubeFlow,Data Science,Big Data,Reinforcement Learning,AD,Statistics,Mathematics,JSON","Remote,Full Time","$180,000-$210,000 annually.",180000,210000,2025-02-25T13:06:16.22Z,True
Senior Software Engineer (Java/Python/LLM),Binance,,Taiwan,", Taiwan","Testing,Backend,Python,NLP,LLMs,Cloud,Java,Prompt Engineering,AWS,GCP,Azure,S3,Data Science,Big Data,Hive,Research,Computer Science,Google Analytics,Automation,NOSQL,Airflow","Remote,Full Time,Onsite",,0,0,2025-02-25T04:23:15.341Z,True
"Research Analyst, Data Modeling and Analytics",NielsenIQ,Kolkata,India,"Kolkata, India","Python,SQL,Java,Data Science,Big Data,Research,Computer Science,Automation,SME,Statistics,Mathematics",Full Time,,0,0,2025-02-24T22:32:10.887Z,True
"Data Engineer - Sr. Consultant level-Scala or Python (Hadoop, Spark, Hive, Kafka) 9 yrs experience",Visa,Bangalore,India,"Bangalore, India","Machine Learning,Python,Hadoop,Java,MySQL,Kafka,SCALA,Data Science,Data Engineer,Big Data,Database,Data Governance,DataBricks,Hive,Computer Science,Architecture,Infrastructure,MBA,CI,Open Source,NOSQL,Jenkins,Power BI,MS SQL",Full Time,,0,0,2025-02-24T22:31:50.849Z,True
Werkstudent KI & Data Science (m/w/d),Thalia Bücher GmbH,Munster,Germany,"Munster, Germany","Machine Learning,Python,Cloud,GCP,Azure,Data Science,Transformation",Teilzeit,,0,0,2025-02-24T22:31:36.242Z,True
Data Science Executive,NielsenIQ,Seoul,South Korea,"Seoul, South Korea","Machine Learning,Python,Git,Data Science,Data Analysis,Big Data,Research,IOS,Automation,Statistics,Mathematics,Power BI,MS Office",Full Time,,0,0,2025-02-24T22:31:31.09Z,True
Consultant(e) Data Science,Sia,Paris,France,"Paris, France","Machine Learning,Python,JavaScript,C++,Perl,R,Data Science,Big Data,Quantitative,Bash,Unix",Temporary,,0,0,2025-02-24T22:31:19.698Z,True
"Senior Data Scientist - (Logistics, Workforce)",Delivery Hero,Berlin,Germany,"Berlin, Germany","Machine Learning,Python,SQL,ML Ops,Pandas,XGBoost,Scikit-learn,Data Science,Data Engineer,Big Data,Forecasting,NumPy,Matplotlib,LightGBM,Catboost,Architecture,Operations Research,Statistics,BigQuery",Full Time,,0,0,2025-02-24T22:29:35.318Z,True
Senior Data Analyst,Natixis in Portugal,Porto,Portugal,"Porto, Portugal","Python,SQL,GO,Tableau,Data Science,Data Engineer,Data Analysis,Big Data,Data Architect,Data Governance,Architecture,Transformation,Gaming,Mathematics,Power BI","Remote,Full Time",,0,0,2025-02-24T22:28:16.101Z,True
Data Analyst Intern,Techo-Bloc,,Canada,", Canada","Python,SQL,R,Data Science,Data Analysis,IOS,Computer Science,Power BI",Intern,,0,0,2025-02-24T22:28:09.793Z,True
Actuaire / Data Scientist Junior H/F,Meilleurtaux,Paris,France,"Paris, France","Python,SQL,R,Data Science,MS Office",Temporary,,0,0,2025-02-24T22:27:52.136Z,True
Data Processing Analyst- Chennnai,NielsenIQ,Chennai,India,"Chennai, India","Machine Learning,Data Science,Research",Full Time,,0,0,2025-02-24T22:27:31.907Z,True
Data Engineer - H/F,Sia,Paris,France,"Paris, France","Machine Learning,Python,Tensorflow,Hadoop,Cloud,API,AWS,GCP,Azure,PostGres,Devops,Data Science,Data Engineer,Big Data,SAAS",Temporary,,0,0,2025-02-24T22:27:28.792Z,True
Junior Data & AI Engineer - Emirati,Ghobash Group,Dubai,UAE,"Dubai, UAE","Machine Learning,Python,SQL,Agile,API,Data Science,Data Engineer,Data Analysis,Database,Computer Science,Product Development,Reliability,NOSQL",Full Time,,0,0,2025-02-24T22:17:50.846Z,True
AI Engineer – Schwerpunkt Generative KI Systeme (m/w/d) ,Thalia Bücher GmbH,Munster,Germany,"Munster, Germany","Machine Learning,Python,LLMs,Tensorflow,PyTorch,Generative AI,ML Ops,Cloud,Prompt Engineering,Langchain,Diffusion Models,API,CICD,Kubernetes,Docker,GCP,Git,KubeFlow,Data Science,OpenAI,MLFlow,Vertex AI,RAG,Deployment,Transformation",Vollzeit,,0,0,2025-02-24T22:17:47.779Z,True
Senior AI Research Engineer,Wix,Tel Aviv,Israel,"Tel Aviv, Israel","Machine Learning,NLP,LLMs,Generative AI,Transformers,Prompt Engineering,Data Science,Deep Learning,Conversational AI,RAG,Research,Computer Science,Statistics,Mathematics",Full Time,,0,0,2025-02-24T22:17:41.615Z,True
Senior Data Scientist with AI product mindset,Hiflylabs,Budapest,Hungary,"Budapest, Hungary","Machine Learning,Python,SQL,NLP,LLMs,Generative AI,Cloud,Transformers,SageMaker,Prompt Engineering,HuggingFace,Langchain,Streamlit,API,Azure,Git,Data Science,Deep Learning,Database,DataBricks,OpenAI,MLFlow,Jupyter,Torch,Text Classification,LightGBM,RAG,Deployment,NOSQL",Full Time,,0,0,2025-02-24T22:17:38.553Z,True
Senior AI Research Scientist – GenAI,Bosch Group,"Sunnyvale, CA",USA,"Sunnyvale, CA, USA","Python,NLP,Robotics,Cloud,Transformers,C++,Prompt Engineering,Diffusion Models,Explainable Ai,Data Science,Deep Learning,Data Analysis,Big Data,Computer Vision,RAG,Computer Science,Product Development,UX,Mathematics",Full Time,"$175,000-$200,000 annually",175000,200000,2025-02-24T22:16:48.546Z,True
"Adjunct Associate Faculty, Mathematics for AI (On-Campus, Summer/Fall '25)",Columbia University,"New York, NY",USA,"New York, NY, USA","Python,Data Science,Jupyter Notebook,SME,Quantitative,Mathematics",Part Time,"$3,344 per semester-length course",6688,6688,2025-02-24T22:16:45.49Z,True
Gen AI Developer with Azure Stack and Lang chain experience is Mandatory,Syncreon Consulting,Toronto,Canada,"Toronto, Canada","Machine Learning,Full Stack,Python,SQL,NLP,Transformers,JavaScript,CSS,HTML,Feature Engineering,API,CICD,Scripting,Kubernetes,Rest,Azure,React,Data Science,Neural networks,Research,Computer Science,Security,Infrastructure,Product Development,NOSQL",Full Time,,0,0,2025-02-24T22:16:42.361Z,True
Alternant Data Engineer F/H,Inetum,,France,", France","Python,SQL,Cloud,AWS,GCP,Azure,Data Science,Data Engineer,Big Data,DataBricks,Architecture,Transformation,SnowFlake,SalesForce",Temporary,,0,0,2025-02-24T22:15:57.686Z,True
Product Owner Data (H/F),Inetum,,France,", France","AWS,GCP,Azure,Data Science,Big Data,DataBricks,IOS,Architecture,Transformation,SnowFlake,SalesForce",Temporary,,0,0,2025-02-24T22:15:39.007Z,True
Data Scientist,Ample Insight Inc.,Toronto,Canada,"Toronto, Canada","Machine Learning,Python,Tensorflow,Pandas,Scikit-learn,Data Science,NumPy,ML Theories,Research,Computer Science,Statistics",Full Time,,0,0,2025-02-24T22:11:58.393Z,True
"Director, People Analytics",Procore Technologies,,USA,", USA","Python,SQL,Tableau,R,Data Science,Clustering",Full Time,$192000-$264000 annually,192000,264000,2025-02-24T22:07:59.845Z,True
Working Student in Deep Learning & Data Science,Bosch Group,,Romania,", Romania","Machine Learning,Testing,Python,SQL,Tensorflow,Hadoop,Pandas,Data Mining,C++,Docker,Azure,Git,Data Science,Deep Learning,NumPy,OpenCV,Seaborn,Transformation,Reliability,Statistics",Full Time,,0,0,2025-02-24T22:02:40.198Z,True
Machine Learning Engineer-3,Procore Technologies,Bangalore,India,"Bangalore, India","Machine Learning,Python,LLMs,Data Science,Deep Learning,SAAS,Code Reviews,Product Design,Statistics",Full Time,,0,0,2025-02-24T22:02:32.078Z,True
Data Scientist - Machine Learning,Ample Insight Inc.,Toronto,Canada,"Toronto, Canada","Machine Learning,Python,Tensorflow,Pandas,Scikit-learn,Data Science,NumPy,ML Theories,Research,Computer Science",Freelancer,,0,0,2025-02-24T22:01:54.833Z,True
Data Engineer - Sr. Consultant level,Visa,"Austin, TX",USA,"Austin, TX, USA","Machine Learning,Python,Tensorflow,Hadoop,Cloud,Data Mining,Java,JavaScript,CSS,HTML,Agile,CICD,Rest,Git,Kafka,Apache,Angular,SCALA,KubeFlow,React,Data Science,Data Engineer,Big Data,Data Infrastructure,MLFlow,Research,MBA,NOSQL,Airflow",Full Time,"$157,100-$227,900 annually",157100,227900,2025-02-23T22:02:38.915Z,True
IT / Web Scrapping / QA Tester Internship / A.I. Automation - WFH/Remote Work,Seeka Technology,Petaling Jaya,,"Petaling Jaya, ","Machine Learning,Full Stack,Python,SQL,NLP,Cloud,Java,HTML,QA,Devops,Data Science,Deep Learning,Pycharm,Research,Automation,Project Management,Jira",Intern,,0,0,2025-02-23T22:02:18.311Z,True
Data Scientist (Visa Predictive Models),Visa,"Washington, DC",USA,"Washington, DC, USA","Machine Learning,Python,SQL,Tensorflow,PyTorch,Hadoop,ML Ops,RNNs,GitHub,Data Science,Data Engineer,Deep Learning,Data Analysis,Big Data,Hive,Neural networks,Dask,Computer Science,Product Management,Automation,MBA,Quantitative,Linux,Statistics,Mathematics,Jira,Unix",Full Time,"$116,500-$164,500 annually",116500,164500,2025-02-22T22:03:20.368Z,True
"Lead Solutions Data Architect, Data Engineering",Ekimetrics,London,UK,"London, UK","Machine Learning,Python,Cloud,Data Lakes,HuggingFace,Langchain,Agile,API,AWS,GCP,Azure,PostGres,Terraform,Tableau,MongoDB,S3,Devops,Data Science,Data Engineer,Data Analysis,Data Architect,Data Governance,DataBricks,PySpark,OpenAI,Data Modelling,IOS,Computer Science,Architecture,Google Analytics,Transformation,Quantitative,SnowFlake,Project Management,Statistics,Airflow,Power BI,SQL Server,DataDog,BigQuery","Full Time,Freelancer",,0,0,2025-02-22T05:39:14.476Z,True
Sr. Data Analyst,Highspot,Hyderabad,India,"Hyderabad, India","Machine Learning,Python,SQL,Cloud,AWS,Git,PostGres,Tableau,Data Science,Data Engineer,Clustering,Recommender Systems,Dimensionality Reduction,Computer Science,Google Analytics,SAAS,Product Development,Transformation,Operations Research,Quantitative,SnowFlake,Statistics",Full Time,,0,0,2025-02-22T04:45:18.609Z,True
Working Student – Process Engineering & Data Reporting,Bosch Group,,Romania,", Romania","Robotics,Data Science,Power BI",Full Time,,0,0,2025-02-21T22:31:09.422Z,True
Data Quality Lead,Syngenta,Toronto,Canada,"Toronto, Canada","Python,SQL,Agile,QA,Data Science,Data Engineer,Data Analysis,Quantitative,Statistics,Mathematics,SalesForce,Flow,RedShift",Full Time,,0,0,2025-02-21T22:30:29.745Z,True
Data Scientist - Risk Management,Walmart,"Sunnyvale, CA",USA,"Sunnyvale, CA, USA","Testing,SQL,Hadoop,Cloud,Tableau,Data Science,Data Analysis,Forecasting,Hive,AD,Product Management,Statistics,Mathematics,Looker",Full Time,,0,0,2025-02-21T22:29:43.703Z,True
Data Scientist - Risk Management,Walmart,"San Bruno, CA",USA,"San Bruno, CA, USA","Testing,SQL,Hadoop,Cloud,Tableau,Data Science,Data Analysis,Forecasting,Hive,AD,Product Management,Statistics,Mathematics,Looker",Full Time,,0,0,2025-02-21T22:29:21.854Z,True
Data Scientist - Risk Management,Walmart,"Hoboken, NJ",USA,"Hoboken, NJ, USA","Testing,SQL,Hadoop,Cloud,Tableau,Data Science,Data Analysis,Forecasting,Hive,AD,Product Management,Statistics,Mathematics,Looker",Full Time,,0,0,2025-02-21T22:28:59.835Z,True
Data Scientist - Risk Management,Walmart,"Washington, DC",USA,"Washington, DC, USA","Testing,SQL,Hadoop,Cloud,Tableau,Data Science,Data Analysis,Forecasting,Hive,AD,Product Management,Statistics,Mathematics,Looker",Full Time,,0,0,2025-02-21T22:28:42.283Z,True
Data Visualization Consultant,Sopra Steria,Brussels,Belgium,"Brussels, Belgium","Python,JavaScript,CSS,HTML,C#,Tableau,Data Science,Transformation,UX,Power BI",Full Time,,0,0,2025-02-21T22:28:05.091Z,True
Data Scientist (CX),Alter Solutions,Warsaw,Poland,"Warsaw, Poland","Machine Learning,Python,Generative AI,Cloud,JavaScript,Feature Engineering,AWS,GCP,Azure,Tableau,Data Science,Data Analysis,Database,Reinforcement Learning,Matplotlib,Computer Science,Automation,Statistics,Power BI",Freelancer,,0,0,2025-02-21T22:27:58.891Z,True
Senior Marketing Data Scientist (m/w/d),Jomigo,Berlin,Germany,"Berlin, Germany","Testing,Python,SQL,Data Science,Data Analysis,AD,Statistics",Full Time,,0,0,2025-02-21T22:26:54.782Z,True
Stage de fin d’études Consultant(e) Data Science,Sia,Paris,France,"Paris, France","Machine Learning,Python,JavaScript,C++,Perl,R,Data Science,Big Data,Quantitative,Bash,Unix",Stage,,0,0,2025-02-21T22:26:33.186Z,True
Data Analyst Intern,Techo-Bloc,,Canada,", Canada","Python,SQL,R,Data Science,Data Analysis,IOS,Computer Science,Power BI",Intern,,0,0,2025-02-21T22:25:31.421Z,True
Senior Research Scientist (AI/ML) ,NielsenIQ,Chennai,India,"Chennai, India","Machine Learning,Testing,Python,NLP,LLMs,PyTorch,Pandas,Transformers,HuggingFace,Agile,Git,Scrum,Data Science,Deep Learning,Data Analysis,Computer Vision,Recommender Systems,Research,IOS,Computer Science",Full Time,,0,0,2025-02-21T22:19:07.259Z,True
Associate Consultant in Data Science - AI Engineering,Sia,Milano,Italy,"Milano, Italy","Machine Learning,Python,Cloud,SageMaker,Git,MySQL,MongoDB,SCALA,R,Data Science,Database,IOS,AD,Transformation",Full Time,,0,0,2025-02-21T22:18:09.623Z,True
GenAI Engineer - H/F,Sia,Paris,France,"Paris, France","Machine Learning,Python,NLP,Generative AI,Prompt Engineering,Embeddings,HuggingFace,Langchain,Semantic Search,AWS,Ruby On Rails,React,Data Science,RAG,Research,Computer Science,Security,Infrastructure,Deployment,SAAS,Transformation,Reliability,UX",Temporary,,0,0,2025-02-21T22:17:47.556Z,True
"Product Manager, AI & STEM Specialist",Jobs for Humanity,"New York, NY",USA,"New York, NY, USA","Machine Learning,Testing,Agile,Scrum,Data Science,Data Analysis,Research,Computer Science,Product Management,Automation,Product Development,Product Design,UX,Spring",Full Time,"$89,000 - $115,000 annually",89000,115000,2025-02-21T22:17:29.413Z,True
Gen AI Developer with Azure Stack and Lang chain experience is Mandatory,Syncreon Consulting,Toronto,Canada,"Toronto, Canada","Machine Learning,Full Stack,Python,SQL,NLP,Transformers,JavaScript,CSS,HTML,Feature Engineering,API,CICD,Scripting,Kubernetes,Rest,Azure,React,Data Science,Neural networks,Research,Computer Science,Security,Infrastructure,Product Development,NOSQL",Full Time,,0,0,2025-02-21T22:17:23.258Z,True
"Principal Architect – Enterprise Data, Analytics, & AI",McDonald's Corporation,"Chicago, IL",USA,"Chicago, IL, USA","Machine Learning,Generative AI,ML Ops,Cloud,API,Rest,GCP,Data Science,Data Engineer,Data Governance,Clustering,Anomaly Detection,Information Retrieval,AD,Computer Science,Architecture,Security,Infrastructure,Deployment,Microservices",Full Time,"$168,350-$218,860 annually",168350,218860,2025-02-21T22:17:02.834Z,True
